Bezirke,Year,Population
Charlottenburg-Wilmersdorf,2018,341327
Charlottenburg-Wilmersdorf,2019,343592
Charlottenburg-Wilmersdorf,2020,341392
Charlottenburg-Wilmersdorf,2021,333998
Charlottenburg-Wilmersdorf,2022,341155
Charlottenburg-Wilmersdorf,2023,343081
Spandau,1991,218614
Spandau,1992,218896
Spandau,1993,217458
Spandau,1994,217148
Spandau,1995,218113
Spandau,1996,218184
Spandau,1997,218170
Spandau,1998,217086
Spandau,1999,215693
Spandau,2000,215997
Spandau,2001,217383
Spandau,2002,218267
Spandau,2003,218093
Spandau,2004,218010
Spandau,2005,217461
Spandau,2006,216936
Spandau,2007,215927
Spandau,2008,215939
Spandau,2009,215444
Spandau,2010,218094
Spandau,2011,220645
Spandau,2012,223305
Spandau,2013,226868
Spandau,2014,230419
Spandau,2015,234630
Spandau,2016,239942
Spandau,2017,242143
Spandau,2018,243080
Spandau,2019,245197
Spandau,2020,245527
Spandau,2021,247396
Spandau,2022,254175
Spandau,2023,257091
Steglitz-Zehlendorf,1991,288555
Steglitz-Zehlendorf,1992,288921
Steglitz-Zehlendorf,1993,290122
Steglitz-Zehlendorf,1994,289798
Steglitz-Zehlendorf,1995,290322
Steglitz-Zehlendorf,1996,290565
Steglitz-Zehlendorf,1997,288591
Steglitz-Zehlendorf,1998,286893
Steglitz-Zehlendorf,1999,285700
Steglitz-Zehlendorf,2000,285378
Steglitz-Zehlendorf,2001,285585
Steglitz-Zehlendorf,2002,285074
Steglitz-Zehlendorf,2003,285007
Steglitz-Zehlendorf,2004,285501
Steglitz-Zehlendorf,2005,285580
Steglitz-Zehlendorf,2006,285817
Steglitz-Zehlendorf,2007,286970
Steglitz-Zehlendorf,2008,288060
Steglitz-Zehlendorf,2009,289718
Steglitz-Zehlendorf,2010,291700
Steglitz-Zehlendorf,2011,293692
Steglitz-Zehlendorf,2012,295746
Steglitz-Zehlendorf,2013,298200
Steglitz-Zehlendorf,2014,299268
Steglitz-Zehlendorf,2015,299765
Steglitz-Zehlendorf,2016,304086
Steglitz-Zehlendorf,2017,307076
Steglitz-Zehlendorf,2018,308077
Steglitz-Zehlendorf,2019,310071
Steglitz-Zehlendorf,2020,308840
Steglitz-Zehlendorf,2021,307135
Steglitz-Zehlendorf,2022,311040
Steglitz-Zehlendorf,2023,310446
Tempelhof-Schoeneberg,1991,344984
Tempelhof-Schoeneberg,1992,345570
Tempelhof-Schoeneberg,1993,346242
Tempelhof-Schoeneberg,1994,344917
Tempelhof-Schoeneberg,1995,343050
Tempelhof-Schoeneberg,1996,341432
Tempelhof-Schoeneberg,1997,337593
Tempelhof-Schoeneberg,1998,334833
Tempelhof-Schoeneberg,1999,334009
Tempelhof-Schoeneberg,2000,333529
Tempelhof-Schoeneberg,2001,333489
Tempelhof-Schoeneberg,2002,331949
Tempelhof-Schoeneberg,2003,330514
Tempelhof-Schoeneberg,2004,329059
Tempelhof-Schoeneberg,2005,327765
Tempelhof-Schoeneberg,2006,326842
Tempelhof-Schoeneberg,2007,325951
Tempelhof-Schoeneberg,2008,326867
Tempelhof-Schoeneberg,2009,328097
Tempelhof-Schoeneberg,2010,329245
Tempelhof-Schoeneberg,2011,329361
Tempelhof-Schoeneberg,2012,328428
Tempelhof-Schoeneberg,2013,331822
Tempelhof-Schoeneberg,2014,335767
Tempelhof-Schoeneberg,2015,341161
Tempelhof-Schoeneberg,2016,346108
Tempelhof-Schoeneberg,2017,348739
Tempelhof-Schoeneberg,2018,351429
Tempelhof-Schoeneberg,2019,350984
Tempelhof-Schoeneberg,2020,349539
Tempelhof-Schoeneberg,2021,348523
Tempelhof-Schoeneberg,2022,353913
Tempelhof-Schoeneberg,2023,355868
Neukoelln,1991,310726
Neukoelln,1992,312977
Neukoelln,1993,314123
Neukoelln,1994,314503
Neukoelln,1995,314706
Neukoelln,1996,312166
Neukoelln,1997,308466
Neukoelln,1998,306387
Neukoelln,1999,304975
Neukoelln,2000,303341
Neukoelln,2001,303881
Neukoelln,2002,303932
Neukoelln,2003,303199
Neukoelln,2004,302171
Neukoelln,2005,302129
Neukoelln,2006,301733
Neukoelln,2007,302797
Neukoelln,2008,305517
Neukoelln,2009,307650
Neukoelln,2010,307204
Neukoelln,2011,313245
Neukoelln,2012,318356
Neukoelln,2013,322153
Neukoelln,2014,325716
Neukoelln,2015,328062
Neukoelln,2016,327522
Neukoelln,2017,329387
Neukoelln,2018,330786
Neukoelln,2019,329917
Neukoelln,2020,327945
Neukoelln,2021,327100
Neukoelln,2022,329476
Neukoelln,2023,330017
Treptow-Koepenick,1991,212535
Treptow-Koepenick,1992,213412
Treptow-Koepenick,1993,215014
Treptow-Koepenick,1994,215392
