key,neighborhood,district,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence
081003,Reuterstrasse,Neukoelln,2013,14297,234,113,1188,428,400,6375,154,556,695,380,65,35,1329,279,513,3073
081004,Rixdorf,Neukoelln,2013,12941,278,147,1409,407,468,5458,111,835,660,374,76,38,1232,220,271,3629
081005,Koellnische Heide,Neukoelln,2013,19484,187,93,1493,440,820,8489,360,2006,213,293,140,53,3312,293,147,4285
082006,Britz Nord,Neukoelln,2013,12748,157,98,1232,407,461,5554,206,1602,320,364,109,38,983,71,163,3502
082007,Britz,Neukoelln,2013,10295,181,106,813,159,416,4372,248,1216,385,402,84,35,906,106,75,2144
082008,Buckow,Neukoelln,2013,5591,83,40,457,122,219,2385,86,734,130,335,36,11,738,97,68,1518
083009,Gropiusstadt West,Neukoelln,2013,14606,252,134,678,185,319,6905,113,622,539,236,87,41,1762,231,82,2420
083010,Gropiusstadt Ost,Neukoelln,2013,6041,124,30,777,166,296,2377,124,593,320,154,59,18,717,53,36,1968
084011,Buckow Nord,Neukoelln,2013,10366,107,21,931,203,407,4814,128,1177,267,300,139,11,920,53,53,2257
084012,Rudow,Neukoelln,2013,6190,71,40,499,159,216,3027,259,985,326,364,19,7,602,50,31,1229
090000,Treptow-Koepenick,Treptow-Koepenick-Total,2013,9561,85,45,821,178,317,4401,204,914,786,184,70,31,1153,338,140,1904
091001,Alt-Treptow,Treptow-Koepenick,2013,18196,341,206,1149,287,278,9704,171,862,2002,377,18,9,1418,494,485,2926
091002,Plaenterwald,Treptow-Koepenick,2013,9221,92,55,699,138,212,5043,202,1601,690,294,55,9,1132,138,37,2052
091003,Baumschulenweg,Treptow-Koepenick,2013,7954,115,63,534,115,316,3679,184,1044,562,270,46,17,890,264,98,1670
091004,Johannisthal,Treptow-Koepenick,2013,7563,54,16,499,87,282,3268,309,825,440,244,60,33,820,190,87,1265
092005,Oberschoeneweide,Treptow-Koepenick,2013,12194,101,61,1667,385,461,4941,304,740,593,137,51,25,1718,618,193,3320
092006,Niederschoeneweide,Treptow-Koepenick,2013,19092,123,38,1319,368,405,8613,207,792,1168,94,85,47,2488,1366,254,2525
092007,Adlershof,Treptow-Koepenick,2013,11836,122,77,704,211,326,5841,179,813,1280,115,32,6,902,198,90,1695
092008,Koellnische Vorstadt/Spindlersfeld,Treptow-Koepenick,2013,10029,100,50,1403,341,391,3146,190,501,731,130,200,140,1974,611,240,3086
093009,Altglienicke,Treptow-Koepenick,2013,5182,27,12,597,116,275,2312,178,787,361,178,50,12,454,74,81,1218
093010,Bohnsdorf,Treptow-Koepenick,2013,6289,33,8,530,75,232,2751,174,630,323,232,41,25,887,240,99,1069
093011,Gruenau,Treptow-Koepenick,2013,8827,36,0,431,108,215,4108,269,718,1292,269,36,18,1363,700,126,951
093012,Schmoeckwitz,Treptow-Koepenick,2013,7550,25,0,518,74,271,3874,99,1925,74,321,49,49,493,0,0,938
094013,Koepenick Sued,Treptow-Koepenick,2013,4374,0,0,400,53,169,1725,89,676,213,53,89,18,800,169,44,951
094014,Allende-Viertel,Treptow-Koepenick,2013,5559,36,18,543,36,181,3060,181,362,724,54,54,9,561,145,45,1385
094015,Altstadt Koepenick,Treptow-Koepenick,2013,8242,47,0,1215,187,374,3023,109,358,919,140,47,16,1215,218,93,2664
094016,Mueggelheim,Treptow-Koepenick,2013,3305,0,0,214,15,214,1454,92,398,92,92,15,0,367,0,15,643
095017,Friedrichshagen,Treptow-Koepenick,2013,5603,51,17,376,97,188,3149,165,478,1219,80,34,11,695,262,11,911
095018,Rahnsdorf,Treptow-Koepenick,2013,6494,22,22,267,56,223,3754,123,1560,746,412,22,11,691,145,11,780
095019,Dammvorstadt,Treptow-Koepenick,2013,18135,94,42,1423,314,356,8309,157,628,1612,105,199,126,1486,199,523,3275
095020,Koepenick Nord,Treptow-Koepenick,2013,4501,33,16,261,114,236,2169,171,587,448,220,65,24,546,73,8,962
100000,Marzahn-Hellersdorf,Marzahn-Hellersdorf-Total,2013,9859,129,62,1241,243,384,3885,201,803,440,164,95,32,1114,245,128,2462
101001,Marzahn Nord,Marzahn-Hellersdorf,2013,9858,139,65,1614,326,487,3389,222,535,378,131,126,48,1209,191,135,3215
101002,Marzahn Mitte,Marzahn-Hellersdorf,2013,11324,162,57,1666,353,388,4291,224,991,316,94,94,33,1032,131,153,2972
101003,Marzahn Sued,Marzahn-Hellersdorf,2013,10684,123,49,973,197,323,4523,403,901,310,101,38,16,1090,340,60,2194
102004,Hellersdorf Nord,Marzahn-Hellersdorf,2013,12189,150,84,2034,405,558,4242,132,573,492,69,198,72,1641,426,231,3843
102005,Hellersdorf Ost,Marzahn-Hellersdorf,2013,8254,132,79,946,159,391,2866,95,370,629,74,100,48,1126,174,169,2311
102006,Hellersdorf Sued,Marzahn-Hellersdorf,2013,7500,119,74,1093,196,348,2606,127,458,409,82,90,12,921,282,127,2296
103007,Biesdorf,Marzahn-Hellersdorf,2013,8569,35,16,635,86,247,4704,133,1086,725,216,55,27,780,98,67,1235
104008,Kaulsdorf,Marzahn-Hellersdorf,2013,5688,43,16,365,70,188,2622,86,879,445,440,32,16,558,118,32,852
104009,Mahlsdorf,Marzahn-Hellersdorf,2013,5665,33,11,321,55,199,2748,148,783,299,414,7,0,561,214,41,665
110000,Lichtenberg,Lichtenberg-Total,2013,9983,107,49,927,190,287,4600,236,818,562,195,80,35,1108,271,156,2325
111001,Malchow,Lichtenberg,2013,8991,47,0,536,70,233,5497,93,932,186,815,70,70,629,70,116,1141
111002,Neu-Hohenschoenhausen Nord,Lichtenberg,2013,7895,94,47,1183,217,264,2902,98,420,351,65,43,25,782,163,232,2507
