key,neighborhood,district,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence
041001,Charlottenburg Nord,Charlottenburg-Wilmersdorf,2013," 13,355 ", 277 , 76 ," 1,536 ", 336 , 760 ," 5,117 ", 315 ," 1,536 ", 342 , 429 , 76 , 38 ," 1,107 ", 71 , 803 ," 3,582 "
042002,Heerstraße,Charlottenburg-Wilmersdorf,2013," 11,544 ", 134 , 47 , 906 , 268 , 292 ," 5,902 ", 268 ," 1,820 ", 433 , 489 , 39 , 24 ," 1,237 ", 528 , 150 ," 1,923 "
042003,Westend,Charlottenburg-Wilmersdorf,2013," 14,126 ", 109 , 26 , 668 , 176 , 341 ," 8,394 ", 221 ," 1,635 ", 698 , 413 , 38 , 26 , 773 , 109 , 71 ," 2,010 "
043004,Schloss Charlottenburg,Charlottenburg-Wilmersdorf,2013," 11,445 ", 177 , 68 , 946 , 227 , 387 ," 5,454 ", 181 , 866 ," 1,079 ", 416 , 44 , 27 ," 1,084 ", 319 , 314 ," 2,786 "
043005,Mierendorffplatz,Charlottenburg-Wilmersdorf,2013," 12,168 ", 267 , 144 , 978 , 232 , 438 ," 5,448 ", 82 ," 1,107 ", 656 , 390 , 68 , 21 , 793 , 96 , 526 ," 3,063 "
043006,Otto-Suhr-Allee/Kantstraße,Charlottenburg-Wilmersdorf,2013," 20,831 ", 249 , 105 ," 1,388 ", 369 , 436 ," 10,470 ", 97 ," 1,017 "," 1,266 ", 592 , 43 , 17 ," 1,272 ", 253 , 603 ," 3,368 "
044007,Grunewald,Charlottenburg-Wilmersdorf,2013," 9,122 ", 66 , 33 , 542 , 175 , 307 ," 5,216 ", 279 ," 1,753 ", 449 , 898 , 27 , 16 , 718 , 197 , 66 ," 2,175 "
044008,Schmargendorf,Charlottenburg-Wilmersdorf,2013," 7,315 ", 69 , 28 , 453 , 78 , 228 ," 4,462 ", 162 ," 1,278 ", 572 , 519 , 16 , 6 , 716 , 122 , 34 ," 1,637 "
045009,Halensee,Charlottenburg-Wilmersdorf,2013," 14,669 ", 133 , 51 , 962 , 207 , 461 ," 6,866 ", 371 ," 1,431 "," 1,087 ", 551 , 55 , 27 ," 1,267 ", 469 , 344 ," 2,878 "
045010,Lietzenburger Straße,Charlottenburg-Wilmersdorf,2013," 29,801 ", 342 , 124 ," 2,642 ", 926 , 658 ," 14,754 ", 309 ," 1,685 ", 970 , 705 , 39 , 5 ," 1,485 ", 386 , 544 ," 5,229 "
045011,Volkspark Wilmersdorf,Charlottenburg-Wilmersdorf,2013," 10,610 ", 151 , 56 , 719 , 199 , 302 ," 5,431 ", 145 ," 1,186 "," 1,054 ", 354 , 52 , 24 , 927 , 199 , 121 ," 2,162 "
050000,Spandau,Spandau-Total,2013," 12,527 ", 131 , 62 ," 1,255 ", 294 , 480 ," 5,224 ", 135 , 735 , 429 , 266 , 78 , 20 ," 1,301 ", 214 , 235 ," 3,281 "
051001,Hakenfelde,Spandau,2013," 8,460 ", 61 , 35 , 732 , 175 , 320 ," 4,197 ", 88 , 706 , 241 , 224 , 88 , 26 , 864 , 79 , 154 ," 3,000 "
051002,Falkenhagener Feld,Spandau,2013," 7,336 ", 127 , 48 ," 1,072 ", 201 , 358 ," 2,838 ", 84 , 429 , 361 , 226 , 102 , 13 , 777 , 28 , 109 ," 2,711 "
051003,Spandau Mitte,Spandau,2013," 17,976 ", 254 , 117 ," 2,110 ", 500 , 669 ," 6,782 ", 117 , 763 , 695 , 222 , 82 , 20 ," 1,642 ", 321 , 590 ," 4,503 "
052004,Brunsbütteler Damm,Spandau,2013," 7,788 ", 76 , 36 , 713 , 192 , 250 ," 3,901 ", 129 , 562 , 259 , 250 , 36 , 9 , 945 , 245 , 89 ," 1,765 "
052005,Heerstraße,Spandau,2013," 10,594 ", 87 , 36 ," 1,321 ", 363 , 545 ," 4,001 ", 185 , 563 , 254 , 258 , 65 , 11 ," 1,223 ", 160 , 105 ," 3,627 "
052006,Wilhelmstadt,Spandau,2013," 17,865 ", 127 , 62 ," 1,315 ", 319 , 606 ," 7,237 ", 118 , 659 , 541 , 260 , 56 , 21 ," 1,507 ", 307 , 340 ," 3,471 "
053007,Haselhorst,Spandau,2013," 14,207 ", 138 , 55 ," 1,028 ", 262 , 400 ," 7,255 ", 193 ," 1,117 ", 400 , 366 , 76 , 21 ," 1,483 ", 145 , 172 ," 3,621 "
053008,Siemensstadt,Spandau,2013," 13,297 ", 150 , 92 ," 1,259 ", 275 , 509 ," 6,111 ", 208 ," 1,201 ", 659 , 250 , 50 , 25 ," 1,142 ", 208 , 100 ," 3,351 "
054009,Gatow/Kladow,Spandau,2013," 5,049 ", 16 , 5 , 349 , 82 , 153 ," 2,337 ", 54 , 550 , 103 , 436 , 49 , 22 , 632 , 93 , 16 , 812 
060000,Steglitz-Zehlendorf,Steglitz-Zehlendorf-Total,2013," 9,065 ", 97 , 41 , 602 , 114 , 294 ," 4,771 ", 184 ," 1,105 ", 540 , 424 , 43 , 13 , 856 , 217 , 143 ," 1,691 "
061001,Schloßstraße,Steglitz-Zehlendorf,2013," 21,293 ", 287 , 130 , 880 , 148 , 310 ," 13,058 ", 125 , 875 , 782 , 495 , 56 , 23 ," 1,046 ", 347 , 157 ," 2,555 "
061002,Albrechtstraße,Steglitz-Zehlendorf,2013," 6,137 ", 98 , 39 , 475 , 102 , 264 ," 3,048 ", 210 , 764 , 444 , 313 , 31 , 12 , 594 , 112 , 108 ," 1,603 "
062003,Lankwitz,Steglitz-Zehlendorf,2013," 7,187 ", 74 , 31 , 702 , 144 , 319 ," 3,049 ", 137 , 728 , 287 , 328 , 57 , 14 , 814 , 141 , 194 ," 1,791 "
062004,Ostpreußendamm,Steglitz-Zehlendorf,2013," 7,348 ", 46 , 29 , 649 , 137 , 252 ," 3,578 ", 163 , 943 , 517 , 254 , 34 , 17 , 726 , 191 , 154 ," 1,466 "
063005,Teltower Damm,Steglitz-Zehlendorf,2013," 7,616 ", 91 , 36 , 456 , 88 , 274 ," 4,135 ", 170 ," 1,085 ", 803 , 450 , 49 , 12 , 787 , 176 , 112 ," 1,383 "
063006,Drakestraße,Steglitz-Zehlendorf,2013," 7,234 ", 62 , 13 , 406 , 69 , 215 ," 4,052 ", 180 ," 1,031 ", 468 , 356 , 37 , 17 , 578 , 69 , 99 ," 1,293 "
064007,Zehlendorf Südwest,Steglitz-Zehlendorf,2013," 9,412 ", 70 , 31 , 627 , 125 , 288 ," 5,022 ", 187 ," 1,613 ", 499 , 604 , 23 , 8 ," 1,036 ", 413 , 113 ," 1,558 "
064008,Zehlendorf Nord,Steglitz-Zehlendorf,2013," 8,960 ", 53 , 17 , 463 , 96 , 250 ," 5,073 ", 202 ," 1,580 ", 519 , 699 , 34 , 5 , 888 , 312 , 91 ," 1,335 "
070000,Tempelhof-Schöneberg,Tempelhof-Schöneberg-Total,2013," 12,485 ", 182 , 87 ," 1,008 ", 245 , 388 ," 5,660 ", 154 , 988 , 659 , 310 , 70 , 20 ," 1,052 ", 204 , 341 ," 2,554 "
071001,Schöneberg Nordwest,Tempelhof-Schöneberg,2013," 25,164 ", 667 , 354 ," 2,021 ", 646 , 589 ," 12,471 ", 161 ," 1,136 ", 733 , 564 , 132 , 41 ," 1,433 ", 206 , 807 ," 4,842 "
