key,neighborhood,neighborhood_original,Prognoseraum (Name),district,district_original,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence,,,,,,,,,,,,,,,,,,,
037016,Prenzlauer Berg Sued,Prenzlauer Berg Süd,Südlicher Prenzlauer Berg,Pankow,Pankow,2013,2886,14,6,148,30,73,1561,119,221,390,87,17,6,305,65,45,661,,,,,,,,,,,,,,,,,,,
040000,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf-Total,Charlottenburg-Wilmersdorf-Total,2013,51527,639,258,3998,1049,1507,25733,720,4686,2973,1663,149,64,3759,889,1180,10062,,,,,,,,,,,,,,,,,,,
041001,Charlottenburg Nord,Charlottenburg Nord,Charlottenburg Nord,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,2013,2461,51,14,283,62,140,943,58,283,63,79,14,7,204,13,148,660,,,,,,,,,,,,,,,,,,,
042002,Heerstrasse,Heerstraße,Charlottenburg West,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,2013,1465,17,6,115,34,37,749,34,231,55,62,5,3,157,67,19,244,,,,,,,,,,,,,,,,,,,
042003,Westend,Westend,Charlottenburg West,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,2013,3766,29,7,178,47,91,2238,59,436,186,110,10,7,206,29,19,536,,,,,,,,,,,,,,,,,,,
043004,Schloss Charlottenburg,Schloss Charlottenburg,Charlottenburg Zentrum,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,2013,4732,73,28,391,94,160,2255,75,358,446,172,18,11,448,132,130,1152,,,,,,,,,,,,,,,,,,,
043005,Mierendorffplatz,Mierendorffplatz,Charlottenburg Zentrum,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,2013,1780,39,21,143,34,64,797,12,162,96,57,10,3,116,14,77,448,,,,,,,,,,,,,,,,,,,
043006,Otto-Suhr-Allee/Kantstrasse,Otto-Suhr-Allee/Kantstraße,Charlottenburg Zentrum,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,2013,9709,116,49,647,172,203,4880,45,474,590,276,20,8,593,118,281,1570,,,,,,,,,,,,,,,,,,,
044007,Grunewald,Grunewald,Wilmersdorf Süd,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,2013,1665,12,6,99,32,56,952,51,320,82,164,5,3,131,36,12,397,,,,,,,,,,,,,,,,,,,
044008,Schmargendorf,Schmargendorf,Wilmersdorf Süd,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,2013,2341,22,9,145,25,73,1428,52,409,183,166,5,2,229,39,11,524,,,,,,,,,,,,,,,,,,,
045009,Halensee,Halensee,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,2013,3752,34,13,246,53,118,1756,95,366,278,141,14,7,324,120,88,736,,,,,,,,,,,,,,,,,,,
045010,Lietzenburger Strasse,Lietzenburger Straße,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,2013,11495,132,48,1019,357,254,5691,119,650,374,272,15,2,573,149,210,2017,,,,,,,,,,,,,,,,,,,
045011,Volkspark Wilmersdorf,Volkspark Wilmersdorf,Wilmersdorf Zentrum,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,2013,4912,70,26,333,92,140,2514,67,549,488,164,24,11,429,92,56,1001,,,,,,,,,,,,,,,,,,,
050000,Spandau,Spandau,Spandau,Spandau-Total,Spandau-Total,2013,28119,295,139,2817,661,1078,11725,303,1650,964,598,174,45,2920,481,528,7358,,,,,,,,,,,,,,,,,,,
051001,Hakenfelde,Hakenfelde,Spandau Mitte / Nord,Spandau,Spandau,2013,1929,14,8,167,40,73,957,20,161,55,51,20,6,197,18,35,684,,,,,,,,,,,,,,,,,,,
051002,Falkenhagener Feld,Falkenhagener Feld,Spandau Mitte / Nord,Spandau,Spandau,2013,2888,50,19,422,79,141,1117,33,169,142,89,40,5,306,11,43,1067,,,,,,,,,,,,,,,,,,,
051003,Spandau Mitte,Spandau Mitte,Spandau Mitte / Nord,Spandau,Spandau,2013,6152,87,40,722,171,229,2321,40,261,238,76,28,7,562,110,202,1541,,,,,,,,,,,,,,,,,,,
052004,Brunsbuetteler Damm,Brunsbütteler Damm,Wilhelmstadt / Staaken,Spandau,Spandau,2013,1747,17,8,160,43,56,875,29,126,58,56,8,2,212,55,20,396,,,,,,,,,,,,,,,,,,,
052005,Heerstrasse,Heerstraße,Charlottenburg West,Spandau,Spandau,2013,2918,24,10,364,100,150,1102,51,155,70,71,18,3,337,44,29,999,,,,,,,,,,,,,,,,,,,
052006,Wilhelmstadt,Wilhelmstadt,Wilhelmstadt / Staaken,Spandau,Spandau,2013,6048,43,21,445,108,205,2450,40,223,183,88,19,7,510,104,115,1175,,,,,,,,,,,,,,,,,,,
053007,Haselhorst,Haselhorst,Haselhorst / Siemensstadt,Spandau,Spandau,2013,2060,20,8,149,38,58,1052,28,162,58,53,11,3,215,21,25,525,,,,,,,,,,,,,,,,,,,
053008,Siemensstadt,Siemensstadt,Haselhorst / Siemensstadt,Spandau,Spandau,2013,1595,18,11,151,33,61,733,25,144,79,30,6,3,137,25,12,402,,,,,,,,,,,,,,,,,,,
054009,Gatow/Kladow,Gatow/Kladow,Gatow / Kladow,Spandau,Spandau,2013,927,3,1,64,15,28,429,10,101,19,80,9,4,116,17,3,149,,,,,,,,,,,,,,,,,,,
