key,neighborhood,area,year,crime_category,crime_count,rank
11363,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2015,theft_parts_motor_vehicles,325,3.0
8398,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2016,theft_total,1484,1.0
23998,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2016,neighborhood_offence,558,2.0
11518,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2016,theft_parts_motor_vehicles,445,3.0
8553,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2017,theft_total,1119,1.0
24153,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2017,neighborhood_offence,500,2.0
11673,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2017,theft_parts_motor_vehicles,303,3.0
8708,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2018,theft_total,936,1.0
24308,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2018,neighborhood_offence,515,2.0
4028,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2018,physical_injuries_total,249,3.0
8863,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2019,theft_total,1100,1.0
24463,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2019,neighborhood_offence,593,2.0
4183,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2019,physical_injuries_total,255,3.0
9018,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2020,theft_total,1184,1.0
24618,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2020,neighborhood_offence,720,2.0
19938,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2020,prop_damage_total,256,3.0
9173,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2021,theft_total,1050,1.0
24773,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2021,neighborhood_offence,621,2.0
20093,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2021,prop_damage_total,296,3.0
9328,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2022,theft_total,1337,1.0
24928,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2022,neighborhood_offence,786,2.0
4648,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2022,physical_injuries_total,317,3.0
7935,Alt-Lichtenberg,Lichtenberg Nord,2013,theft_total,1852,1.0
23535,Alt-Lichtenberg,Lichtenberg Nord,2013,neighborhood_offence,803,2.0
18855,Alt-Lichtenberg,Lichtenberg Nord,2013,prop_damage_total,343,3.0
8090,Alt-Lichtenberg,Lichtenberg Nord,2014,theft_total,2090,1.0
23690,Alt-Lichtenberg,Lichtenberg Nord,2014,neighborhood_offence,752,2.0
11210,Alt-Lichtenberg,Lichtenberg Nord,2014,theft_parts_motor_vehicles,419,3.0
8245,Alt-Lichtenberg,Lichtenberg Nord,2015,theft_total,2096,1.0
23845,Alt-Lichtenberg,Lichtenberg Nord,2015,neighborhood_offence,820,2.0
19165,Alt-Lichtenberg,Lichtenberg Nord,2015,prop_damage_total,370,3.0
8400,Alt-Lichtenberg,Lichtenberg Nord,2016,theft_total,2697,1.0
24000,Alt-Lichtenberg,Lichtenberg Nord,2016,neighborhood_offence,1033,2.0
3720,Alt-Lichtenberg,Lichtenberg Nord,2016,physical_injuries_total,489,3.0
8555,Alt-Lichtenberg,Lichtenberg Nord,2017,theft_total,2314,1.0
24155,Alt-Lichtenberg,Lichtenberg Nord,2017,neighborhood_offence,906,2.0
3875,Alt-Lichtenberg,Lichtenberg Nord,2017,physical_injuries_total,496,3.0
8710,Alt-Lichtenberg,Lichtenberg Nord,2018,theft_total,2260,1.0
24310,Alt-Lichtenberg,Lichtenberg Nord,2018,neighborhood_offence,981,2.0
4030,Alt-Lichtenberg,Lichtenberg Nord,2018,physical_injuries_total,465,3.0
8865,Alt-Lichtenberg,Lichtenberg Nord,2019,theft_total,2056,1.0
24465,Alt-Lichtenberg,Lichtenberg Nord,2019,neighborhood_offence,1029,2.0
4185,Alt-Lichtenberg,Lichtenberg Nord,2019,physical_injuries_total,498,3.0
9020,Alt-Lichtenberg,Lichtenberg Nord,2020,theft_total,2297,1.0
24620,Alt-Lichtenberg,Lichtenberg Nord,2020,neighborhood_offence,1141,2.0
4340,Alt-Lichtenberg,Lichtenberg Nord,2020,physical_injuries_total,538,3.0
9175,Alt-Lichtenberg,Lichtenberg Nord,2021,theft_total,1879,1.0
24775,Alt-Lichtenberg,Lichtenberg Nord,2021,neighborhood_offence,952,2.0
20095,Alt-Lichtenberg,Lichtenberg Nord,2021,prop_damage_total,541,3.0
9330,Alt-Lichtenberg,Lichtenberg Nord,2022,theft_total,2505,1.0
24930,Alt-Lichtenberg,Lichtenberg Nord,2022,neighborhood_offence,1120,2.0
4650,Alt-Lichtenberg,Lichtenberg Nord,2022,physical_injuries_total,538,3.0
7898,Alt-Treptow,Treptow-Köpenick 1,2013,theft_total,1081,1.0
23498,Alt-Treptow,Treptow-Köpenick 1,2013,neighborhood_offence,326,2.0
12578,Alt-Treptow,Treptow-Köpenick 1,2013,bike_theft,223,3.0
8053,Alt-Treptow,Treptow-Köpenick 1,2014,theft_total,1203,1.0
23653,Alt-Treptow,Treptow-Köpenick 1,2014,neighborhood_offence,359,2.0
12733,Alt-Treptow,Treptow-Köpenick 1,2014,bike_theft,280,3.0
8208,Alt-Treptow,Treptow-Köpenick 1,2015,theft_total,1273,1.0
23808,Alt-Treptow,Treptow-Köpenick 1,2015,neighborhood_offence,461,2.0
12888,Alt-Treptow,Treptow-Köpenick 1,2015,bike_theft,286,3.0
8363,Alt-Treptow,Treptow-Köpenick 1,2016,theft_total,1292,1.0
23963,Alt-Treptow,Treptow-Köpenick 1,2016,neighborhood_offence,399,2.0
13043,Alt-Treptow,Treptow-Köpenick 1,2016,bike_theft,319,3.0
8518,Alt-Treptow,Treptow-Köpenick 1,2017,theft_total,1309,1.0
24118,Alt-Treptow,Treptow-Köpenick 1,2017,neighborhood_offence,542,2.0
13198,Alt-Treptow,Treptow-Köpenick 1,2017,bike_theft,274,3.0
8673,Alt-Treptow,Treptow-Köpenick 1,2018,theft_total,1305,1.0
24273,Alt-Treptow,Treptow-Köpenick 1,2018,neighborhood_offence,496,2.0
13353,Alt-Treptow,Treptow-Köpenick 1,2018,bike_theft,290,3.0
8828,Alt-Treptow,Treptow-Köpenick 1,2019,theft_total,1438,1.0
24428,Alt-Treptow,Treptow-Köpenick 1,2019,neighborhood_offence,772,2.0
13508,Alt-Treptow,Treptow-Köpenick 1,2019,bike_theft,307,3.0
8983,Alt-Treptow,Treptow-Köpenick 1,2020,theft_total,1351,1.0
24583,Alt-Treptow,Treptow-Köpenick 1,2020,neighborhood_offence,442,2.0
13663,Alt-Treptow,Treptow-Köpenick 1,2020,bike_theft,305,3.0
9138,Alt-Treptow,Treptow-Köpenick 1,2021,theft_total,1282,1.0
24738,Alt-Treptow,Treptow-Köpenick 1,2021,neighborhood_offence,453,2.0
13818,Alt-Treptow,Treptow-Köpenick 1,2021,bike_theft,318,3.0
9293,Alt-Treptow,Treptow-Köpenick 1,2022,theft_total,1217,1.0
24893,Alt-Treptow,Treptow-Köpenick 1,2022,neighborhood_offence,600,2.0
13973,Alt-Treptow,Treptow-Köpenick 1,2022,bike_theft,276,3.0
7906,Altglienicke,Treptow-Köpenick 3,2013,theft_total,596,1.0
